,master_metadata_track_name,counts,isInPlaylist
915,Angel Eyes,1.0,0.0
916,Winter Lights,1.0,0.0
917,Habits (Stay High),1.0,0.0
918,Poke Date,1.0,0.0
919,Chasing Tail (Madnap Remix),1.0,0.0
920,Thierno,1.0,0.0
921,ramona,1.0,0.0
922,Birds,1.0,0.0
923,Don't Shoot Me Down,1.0,0.0
924,Kernkraft 400,1.0,0.0
925,Part VIII - Live,1.0,0.0
926,It´s Easy To Remember,1.0,0.0
927,My Love (feat. T.I.),1.0,1.0
928,Mist,1.0,0.0
929,Bandwidth,1.0,0.0
930,Hard To Forget - Moods Remix,1.0,0.0
931,Lost and Found,1.0,0.0
932,Nobody's Love,1.0,0.0
933,Captain Calvin,1.0,0.0
934,Sun Kiss,1.0,0.0
935,Rich Boy,1.0,0.0
936,pumpkins,1.0,0.0
937,KOD,1.0,0.0
938,Mele Kalikimaka (Merry Christmas),1.0,0.0
939,Angels We Have Heard On High,1.0,0.0
940,California Gurls,1.0,0.0
941,Lost in the Fire (feat. The Weeknd),1.0,0.0
942,Yo Perreo Sola,1.0,0.0
943,Kevin’s Heart,1.0,0.0
944,Blue Orchard,1.0,0.0
945,Physical,1.0,0.0
946,Bank Account,1.0,0.0
947,I Should Care,1.0,0.0
948,Diamonds,1.0,0.0
949,Ciaccona per Embrik,1.0,0.0
950,Nomatter,1.0,0.0
951,Silent Night,1.0,0.0
952,Jaded,1.0,0.0
953,It's A Vibe,1.0,0.0
954,WAP (feat. Megan Thee Stallion),1.0,0.0
955,Girls in the Hood,1.0,0.0
956,Rude Boy,1.0,0.0
957,Hello,1.0,0.0
958,Polka Dots and Moonbeams,1.0,0.0
959,Performative (Instrumental),1.0,0.0
960,Love Affair in Kyoto,1.0,0.0
961,Stompin' At The Savoy,1.0,0.0
962,sunrise,1.0,0.0
963,I Could Write A Book,1.0,0.0
964,Tumbleup,1.0,0.0
965,Father Stretch My Hands Pt. 1,1.0,1.0
966,From This Day Until Forever,1.0,0.0
967,"Harder, Better, Faster, Stronger",1.0,0.0
968,Thanks Chunk,1.0,0.0
969,Healing,1.0,0.0
970,On My Way Home,1.0,0.0
971,A Better Place,1.0,0.0
972,Copley Plaza,1.0,0.0
973,Cozy,1.0,0.0
974,Cherokee,1.0,0.0
975,Last Snow,1.0,0.0
976,I'll Wait and Pray,1.0,0.0
977,Safe Travels!,1.0,0.0
978,Cheerleader - Felix Jaehn Remix Radio Edit,1.0,0.0
979,If the World Was Ending (feat. Julia Michaels),1.0,0.0
980,Rudolph the Red-Nosed Reindeer,1.0,0.0
981,This City,1.0,0.0
982,It Came Upon a Midnight Clear / Angels We Have Heard on High,1.0,0.0
983,Escape From LA,1.0,0.0
984,By the Seaside,1.0,0.0
985,Bolero Triste,1.0,0.0
986,bringmesun,1.0,0.0
987,Green Tea,1.0,0.0
988,calm,1.0,0.0
989,feelinglow,1.0,0.0
990,Belleville,1.0,0.0
991,Stole the Show,1.0,0.0
992,Nights At The Beach,1.0,0.0
993,keep on,1.0,0.0
994,Pisco Sour,1.0,0.0
995,Longwayhome,1.0,0.0
996,Extra Fresh,1.0,0.0
997,Embers in the Dark,1.0,0.0
998,Time to Relax,1.0,0.0
999,Uma Thurman,1.0,0.0
1000,Nonstop,1.0,0.0
1001,loneliness for love,1.0,0.0
1002,The Old Country,1.0,0.0
1003,behind the peak,1.0,0.0
1004,Stupid Love,1.0,0.0
1005,It's Always You - Vocal Version,1.0,0.0
1006,10 Bands,1.0,0.0
1007,Lucid Dreams,1.0,0.0
1008,Blues for the Real Human Beings,1.0,0.0
1009,Quick Musical Doodles,1.0,0.0
1010,Carol of the Bells,1.0,0.0
1011,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1.0,1.0
1012,I’m Ready (with Demi Lovato),1.0,0.0
1013,It’s A Vibe,1.0,0.0
1014,Save The Day (feat. Coi Leray & LouGotCash),1.0,0.0
1015,Let's Get It Started,1.0,0.0
1016,Woodnot,1.0,0.0
1017,Inside,1.0,0.0
1018,Dancing With A Stranger (with Normani),1.0,0.0
1019,Lean On,1.0,0.0
1020,On the Trail,1.0,0.0
1021,Moral of the Story,1.0,0.0
1022,The Man With All The Toys - 1991 Remix,1.0,0.0
1023,Just Drive,1.0,0.0
1024,Set Fire to the Rain,1.0,0.0
1025,Tokyo Drifting (with Denzel Curry),1.0,0.0
1026,Rooftop Reservations,1.0,0.0
1027,Soliloquy,1.0,0.0
1028,bloom,1.0,0.0
1029,Somebody,1.0,0.0
1030,Sunshine Makes Me Smile,1.0,0.0
1031,I Thought About You,1.0,0.0
1032,Purple Sand (My Home),1.0,0.0
1033,Slopes,1.0,0.0
1034,Stairway to the Stars,1.0,0.0
1035,Go Tell It on the Mountain,1.0,0.0
1036,Alone Again,1.0,0.0
1037,Answer Me - Live from Budapest,1.0,0.0
1038,Vid Frösö kyrka - From Frösöblomster,1.0,0.0
1039,God Rest Ye Merry Gentlemen,1.0,0.0
1040,Better Believe,1.0,0.0
1041,Silver Glen,1.0,0.0
1042,If I Tried,1.0,0.0
1043,Pennies From Heaven,1.0,0.0
1044,Vegans Suck,1.0,0.0
1045,ROCKSTAR (feat. Roddy Ricch),1.0,0.0
1046,Swix,1.0,0.0
1047,Heartless - Remix,1.0,0.0
1048,Beyond Clouds,1.0,0.0
1049,Boyfriend,1.0,0.0
1050,Buried Alive Interlude,1.0,0.0
1051,Re: Stacks - Radio Edit,1.0,0.0
1052,Aires,1.0,0.0
1053,Ski,1.0,0.0
1054,Sweetness,1.0,0.0
1055,Señorita,1.0,0.0
1056,Ups N Downs,1.0,0.0
1057,I'm Yours,1.0,0.0
1058,Dolphin Dance,1.0,0.0
1059,My Head & My Heart,1.0,0.0
1060,Alwayshere,1.0,0.0
1061,Dear Old Stockholm,1.0,0.0
1062,Save Your Tears - OPN Remix,1.0,0.0
1063,Die Young,1.0,1.0
1064,Lemon Tea,1.0,0.0
1065,A Maze,1.0,0.0
1066,Green Lights,1.0,1.0
1067,Time of our Lives,,1.0
1068,0 to 100 / The Catch Up,,1.0
1069,When The World Is Running Down You Make The Best Of What's Still Around,,1.0
1070,It Was A Good Day,,1.0
1071,Trndsttr (feat. M. Maggie) - Lucian Remix,,1.0
1072,Feels (feat. Pharrell Williams Katy Perry & Big Sean),,1.0
1073,a lot,,1.0
1074,New Romantics,,1.0
1075,Burnin' For You,,1.0
1076,The Judge,,1.0
1077,Over My Head,,1.0
1078,Chained To The Rhythm,,1.0
1079,No Tellin',,1.0
1080,Hold On We're Going Home,,1.0
1081,Under The Sun (with J. Cole & Lute feat. DaBaby),,1.0
1082,Despacito,,1.0
1083,After Hananbi -Listen To My Beats-,,1.0
1084,Monday Chill Pt. 7,,1.0
1085,T�zen,,1.0
1086,If This Is it,,1.0
1087,What You Know About Love,,1.0
1088,Into You,,1.0
1089,Harder To Breathe,,1.0
1090,no tears left to cry,,1.0
1091,D�KITI,,1.0
1092,Moth To A Flame (with The Weeknd),,1.0
1093,Take My Breath,,1.0
1094,Wham Bam Shang-a-Lang,,1.0
