songName,isInPlaylist
Trampoline,1
WHATS POPPIN,1
My Love (feat. T.I.),1
Take My Breath,1
We Are,1
Girls on Film,1
Lunatic Fringe,1
Die Young,1
Often,1
Just Dance,1
Separate Ways (Worlds Apart),1
Let's Get It Started - Spike Mix,1
Urgent,1
Counting Stars,1
Circles,1
XO / The Host,1
Bringin' On The Heartbreak,1
Nobody - Le Youth Remix,1
Misery,1
Sunflower - Spider-Man: Into the Spider-Verse,1
Scootaloo,1
This Girl (Kungs Vs. Cookin' On 3 Burners),1
Lights Please,1
Something In The Way You Move,1
Monsters (feat. Demi Lovato and blackbear),1
Good Feeling,1
RAPSTAR,1
Trophies,1
Rise and Shine,1
Photograph,1
Wow.,1
Boulevard of Broken Dreams,1
Love$ick (feat. A$AP Rocky),1
Do You Believe In Love,1
Wham Bam Shang-a-Lang,1
You Know You Like It,1
Better Now,1
It's A Mistake,1
No Limit,1
Sunshine (The Light),1
Bad Habits,1
Magic - 2003 Remaster,1
FRIENDS,1
MAMACITA,1
X (with 2 Chainz & Saudi),1
Breaking Me,1
POPSTAR (feat. Drake),1
Ransom,1
TROLLZ (with Nicki Minaj),1
Locked out of Heaven,1
Paparazzi,1
Problem,1
Stuck With You,1
Like A G6,1
I Get the Bag (feat. Migos),1
Hold On,1
The Anthem,1
The Way,1
RITMO (Bad Boys For Life),1
Dreams,1
Fox On The Run,1
Apologize,1
Fire Squad,1
Good Old Days (feat. Kesha),1
Ride It,1
Blueberry Faygo,1
Under Ground Kings,1
Come and Get Your Love - Single Version,1
Animals,1
